hx_x,hx_y,hx_z,hx_temp,hy_x,hy_y,hy_z,hy_temp
4447,-24493,-2453,24,11523,-23550,2263,32
4447,-24489,-2462,23,11537,-23560,2276,33
4441,-24493,-2455,25,11509,-23570,2268,33
4435,-24477,-2456,24,11545,-23552,2258,35
4431,-24481,-2452,25,11537,-23546,2265,34
4444,-24481,-2471,25,11535,-23300,2268,35
4434,-24475,-2452,23,11529,-23538,2272,32
4439,-24473,-2465,24,11531,-23560,2263,34
4433,-24485,-2461,24,11519,-23560,2253,35
4435,-24471,-2446,24,11535,-23540,2261,34
4448,-24497,-2439,24,11523,-23570,2261,33
4435,-24467,-2466,23,11543,-23564,2243,33
4412,-24469,-2460,24,11531,-23538,2252,34
4439,-24473,-2485,24,11533,-23542,2265,32
4445,-24479,-2458,23,11515,-23530,2276,33
4431,-24461,-2442,23,11519,-23557,2262,30
4458,-24497,-2474,23,11517,-23564,2249,34
4449,-24473,-2447,22,11527,-23550,2261,35
4446,-24501,-2434,25,11535,-23560,2252,35
4432,-24485,-2465,25,11529,-23566,2282,34
4425,-24468,-2464,21,11525,-23566,2267,33
4440,-24487,-2455,25,11281,-23564,2269,32
4433,-24489,-2446,24,11525,-23570,2249,34
4439,-24491,-2443,23,11523,-23540,2261,31
4434,-24499,-2454,24,11521,-23572,2266,33
4434,-24491,-2446,26,11535,-23570,2275,35
4446,-24487,-2462,23,11527,-23564,2267,32
4445,-24493,-2453,23,11535,-23572,2265,35
4437,-24489,-2453,23,11535,-23558,2262,33
4432,-24501,-2441,25,11535,-23570,2273,35
4433,-24477,-2448,23,11519,-23562,2233,34
4420,-24505,-2461,27,11769,-23570,2272,32
4424,-24491,-2463,24,11519,-23554,2271,33
4422,-24489,-2459,24,11531,-23564,2265,33
4431,-24487,-2452,24,11531,-23560,2271,34
4433,-24471,-2446,25,11533,-23564,2271,34
4425,-24505,-2451,25,11539,-23566,2240,34
4416,-24485,-2465,23,11519,-23550,2261,33
4433,-24479,-2428,24,11547,-23564,2301,35
4443,-24491,-2452,24,11525,-23566,2258,34
4433,-24473,-2428,23,11537,-23558,2255,36
4439,-24495,-2441,24,11537,-23558,2255,33
4421,-24477,-2442,25,11539,-23562,2261,34
4424,-24467,-2463,25,11523,-23560,2274,34
4431,-24469,-2450,25,11529,-23550,2277,33
4435,-24501,-2451,24,11547,-23564,2271,34
4426,-24495,-2462,25,11527,-23562,2273,33
4414,-24491,-2450,23,11515,-23570,2291,35
4439,-24479,-2449,25,11535,-23566,2263,35
4435,-24505,-2425,25,11531,-23556,2269,32
4421,-24499,-2458,24,11529,-23578,2266,32
4435,-24487,-2456,24,11525,-23570,2289,33
4431,-24497,-2462,24,11525,-23554,2271,34
4417,-24485,-2445,24,11529,-23550,2279,34
4427,-24477,-2469,23,11525,-23554,2262,34
4433,-24479,-2442,24,11515,-23566,2269,34
4422,-24483,-2461,24,11537,-23554,2271,33
4425,-24495,-2466,23,11517,-23552,2265,33
